2022-05-30 10:49:11.451 | DEBUG    | __main__:<module>:21 - debug日志
2022-05-30 10:49:11.451 | WARNING  | __main__:<module>:23 - warning日志
2022-05-30T10:53:03.045577+0800DEBUGdebug日志
2022-05-30T10:53:03.045577+0800WARNINGwarning日志
2022-06-01T11:25:41.929305+0800DEBUGdebug日志
2022-06-01T11:25:41.929305+0800WARNINGwarning日志
2022-06-01T11:42:23.954617+0800 | DEBUG | debug日志
2022-06-01T11:42:23.954617+0800 | WARNING | warning日志
2022-06-01T11:43:01.471763+0800 | DEBUG | debug日志 | 34
2022-06-01T11:43:01.471763+0800 | WARNING | warning日志 | 36
2022-06-01T11:45:34.805533+0800 | DEBUG | debug日志 | 35
2022-06-01 at 11:45:34 | DEBUG | debug日志 | 35
2022-06-01T11:45:34.806533+0800 | WARNING | warning日志 | 37
2022-06-01 at 11:45:34 | WARNING | warning日志 | 37
2022-06-01 at 11:46:01 | DEBUG | debug日志 | 35
2022-06-01 at 11:46:01 | WARNING | warning日志 | 37
2022-06-01 at 11:48:37 | DEBUG | debug日志 | 35
2022-06-01 at 11:48:37 | WARNING | warning日志 | 37
2022-06-01 at 11:48:37 | INFO | 我的名字叫张三 | 40
2022-06-01 at 11:48:37 | INFO | 我的名字叫张三 | 41
